Quotazioni Immobiliari : Valori di Mercato - Semestre 2012/1 - elaborazione del 30-MAG-19
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B7;NA00003244;5;Negozi;NORMALE;P;3100;6200;L;10,4;20,6;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B7;NA00003244;6;Uffici;NORMALE;P;3100;4800;L;7,8;12;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B7;NA00003244;18;Uffici strutturati;NORMALE;P;3400;5200;L;10;15,1;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;B;B7;NA00003244;10;Laboratori;NORMALE;P;1900;3800;L;5,6;11;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C1;NA00000015;20;Abitazioni civili;NORMALE;P;3000;4600;L;7,5;11,5;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C1;NA00000015;21;Abitazioni di tipo economico;NORMALE;P;2150;3300;L;5,4;8,2;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C1;NA00000015;16;Autorimesse;NORMALE;P;1400;2100;L;4,7;7;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C1;NA00000015;13;Box;NORMALE;P;2200;3300;L;7,4;11;N;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C1;NA00000015;14;Posti auto coperti;NORMALE;P;1400;2100;L;4,7;7;L;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C1;NA00000015;15;Posti auto scoperti;NORMALE;P;960;1450;L;3,2;4,8;L;
SUD;CAMPANIA;NA;15063049;Q1AA; ;F839;NAPOLI;C;C1;NA00000015;1;Ville e Villini;NORMALE;P;3300;5000;L;8,3;12,5;N;
